dataset_name,table_name,column_name,data_type,ordinal_position
mimiciv_derived,blood_differential,hadm_id,INT64,2
mimiciv_derived,blood_differential,charttime,DATETIME,3
mimiciv_derived,blood_differential,specimen_id,INT64,4
mimiciv_derived,blood_differential,wbc,FLOAT64,5
mimiciv_derived,blood_differential,basophils_abs,NUMERIC,6
mimiciv_derived,blood_differential,eosinophils_abs,NUMERIC,7
mimiciv_derived,blood_differential,lymphocytes_abs,NUMERIC,8
mimiciv_derived,blood_differential,monocytes_abs,NUMERIC,9
mimiciv_derived,blood_differential,neutrophils_abs,NUMERIC,10
mimiciv_derived,blood_differential,basophils,FLOAT64,11
mimiciv_derived,blood_differential,eosinophils,FLOAT64,12
mimiciv_derived,blood_differential,lymphocytes,FLOAT64,13
mimiciv_derived,blood_differential,monocytes,FLOAT64,14
mimiciv_derived,blood_differential,neutrophils,FLOAT64,15
mimiciv_derived,blood_differential,atypical_lymphocytes,FLOAT64,16
mimiciv_derived,blood_differential,bands,FLOAT64,17
mimiciv_derived,blood_differential,immature_granulocytes,FLOAT64,18
mimiciv_derived,blood_differential,metamyelocytes,FLOAT64,19
mimiciv_derived,blood_differential,nrbc,FLOAT64,20
mimiciv_derived,cardiac_marker,subject_id,INT64,1
mimiciv_derived,cardiac_marker,hadm_id,INT64,2
mimiciv_derived,cardiac_marker,charttime,DATETIME,3
mimiciv_derived,cardiac_marker,specimen_id,INT64,4
mimiciv_derived,cardiac_marker,troponin_t,FLOAT64,5
mimiciv_derived,cardiac_marker,ck_mb,FLOAT64,6
mimiciv_derived,cardiac_marker,ntprobnp,FLOAT64,7
mimiciv_derived,charlson,subject_id,INT64,1
mimiciv_derived,charlson,hadm_id,INT64,2
mimiciv_derived,charlson,age_score,INT64,3
mimiciv_derived,charlson,myocardial_infarct,INT64,4
mimiciv_derived,charlson,congestive_heart_failure,INT64,5
mimiciv_derived,charlson,peripheral_vascular_disease,INT64,6
mimiciv_derived,charlson,cerebrovascular_disease,INT64,7
mimiciv_derived,charlson,dementia,INT64,8
mimiciv_derived,charlson,chronic_pulmonary_disease,INT64,9
mimiciv_derived,charlson,rheumatic_disease,INT64,10
mimiciv_derived,charlson,peptic_ulcer_disease,INT64,11
mimiciv_derived,charlson,mild_liver_disease,INT64,12
mimiciv_derived,charlson,diabetes_without_cc,INT64,13
mimiciv_derived,charlson,diabetes_with_cc,INT64,14
mimiciv_derived,charlson,paraplegia,INT64,15
mimiciv_derived,charlson,renal_disease,INT64,16
mimiciv_derived,charlson,malignant_cancer,INT64,17
mimiciv_derived,charlson,severe_liver_disease,INT64,18
mimiciv_derived,charlson,metastatic_solid_tumor,INT64,19
mimiciv_derived,charlson,aids,INT64,20
mimiciv_derived,charlson,charlson_comorbidity_index,INT64,21
mimiciv_derived,chemistry,subject_id,INT64,1
mimiciv_derived,chemistry,hadm_id,INT64,2
mimiciv_derived,chemistry,charttime,DATETIME,3
mimiciv_derived,chemistry,specimen_id,INT64,4
mimiciv_derived,chemistry,albumin,FLOAT64,5
mimiciv_derived,chemistry,globulin,FLOAT64,6
mimiciv_derived,chemistry,total_protein,FLOAT64,7
mimiciv_derived,chemistry,aniongap,FLOAT64,8
mimiciv_derived,chemistry,bicarbonate,FLOAT64,9
mimiciv_derived,chemistry,bun,FLOAT64,10
mimiciv_derived,chemistry,calcium,FLOAT64,11
mimiciv_derived,chemistry,chloride,FLOAT64,12
mimiciv_derived,chemistry,creatinine,FLOAT64,13
mimiciv_derived,chemistry,glucose,FLOAT64,14
mimiciv_derived,chemistry,sodium,FLOAT64,15
mimiciv_derived,chemistry,potassium,FLOAT64,16
mimiciv_derived,coagulation,subject_id,INT64,1
mimiciv_derived,coagulation,hadm_id,INT64,2
mimiciv_derived,coagulation,charttime,DATETIME,3
mimiciv_derived,coagulation,specimen_id,INT64,4
mimiciv_derived,coagulation,d_dimer,FLOAT64,5
mimiciv_derived,coagulation,fibrinogen,FLOAT64,6
mimiciv_derived,coagulation,thrombin,FLOAT64,7
mimiciv_derived,coagulation,inr,FLOAT64,8
mimiciv_derived,coagulation,pt,FLOAT64,9
mimiciv_derived,coagulation,ptt,FLOAT64,10
mimiciv_derived,code_status,subject_id,INT64,1
mimiciv_derived,code_status,hadm_id,INT64,2
mimiciv_derived,code_status,stay_id,INT64,3
mimiciv_derived,code_status,charttime,DATETIME,4
mimiciv_derived,code_status,fullcode,INT64,5
mimiciv_derived,code_status,cmo,INT64,6
mimiciv_derived,code_status,dni,INT64,7
mimiciv_derived,code_status,dnr,INT64,8
mimiciv_derived,complete_blood_count,subject_id,INT64,1
mimiciv_derived,complete_blood_count,hadm_id,INT64,2
mimiciv_derived,complete_blood_count,charttime,DATETIME,3
mimiciv_derived,complete_blood_count,specimen_id,INT64,4
mimiciv_derived,complete_blood_count,hematocrit,FLOAT64,5
mimiciv_derived,complete_blood_count,hemoglobin,FLOAT64,6
mimiciv_derived,complete_blood_count,mch,FLOAT64,7
mimiciv_derived,complete_blood_count,mchc,FLOAT64,8
mimiciv_derived,complete_blood_count,mcv,FLOAT64,9
mimiciv_derived,complete_blood_count,platelet,FLOAT64,10
mimiciv_derived,complete_blood_count,rbc,FLOAT64,11
mimiciv_derived,complete_blood_count,rdw,FLOAT64,12
mimiciv_derived,complete_blood_count,rdwsd,FLOAT64,13
mimiciv_derived,complete_blood_count,wbc,FLOAT64,14
mimiciv_derived,creatinine_baseline,hadm_id,INT64,1
mimiciv_derived,creatinine_baseline,gender,STRING,2
mimiciv_derived,creatinine_baseline,age,INT64,3
mimiciv_derived,creatinine_baseline,scr_min,FLOAT64,4
mimiciv_derived,creatinine_baseline,ckd,INT64,5
mimiciv_derived,creatinine_baseline,mdrd_est,FLOAT64,6
mimiciv_derived,creatinine_baseline,scr_baseline,FLOAT64,7
mimiciv_derived,crrt,stay_id,INT64,1
mimiciv_derived,crrt,charttime,DATETIME,2
mimiciv_derived,crrt,crrt_mode,STRING,3
mimiciv_derived,crrt,access_pressure,FLOAT64,4
mimiciv_derived,crrt,blood_flow,FLOAT64,5
mimiciv_derived,crrt,citrate,FLOAT64,6
mimiciv_derived,crrt,current_goal,FLOAT64,7
mimiciv_derived,crrt,dialysate_fluid,STRING,8
mimiciv_derived,crrt,dialysate_rate,FLOAT64,9
mimiciv_derived,crrt,effluent_pressure,FLOAT64,10
mimiciv_derived,crrt,filter_pressure,FLOAT64,11
mimiciv_derived,crrt,heparin_concentration,STRING,12
mimiciv_derived,crrt,heparin_dose,FLOAT64,13
mimiciv_derived,crrt,hourly_patient_fluid_removal,FLOAT64,14
mimiciv_derived,crrt,prefilter_replacement_rate,FLOAT64,15
mimiciv_derived,crrt,postfilter_replacement_rate,FLOAT64,16
mimiciv_derived,crrt,replacement_fluid,STRING,17
mimiciv_derived,crrt,replacement_rate,FLOAT64,18
mimiciv_derived,crrt,return_pressure,FLOAT64,19
mimiciv_derived,crrt,ultrafiltrate_output,FLOAT64,20
mimiciv_derived,crrt,system_active,INT64,21
mimiciv_derived,crrt,clots,INT64,22
mimiciv_derived,crrt,clots_increasing,INT64,23
mimiciv_derived,crrt,clotted,INT64,24
mimiciv_derived,dobutamine,stay_id,INT64,1
mimiciv_derived,dobutamine,linkorderid,INT64,2
mimiciv_derived,dobutamine,vaso_rate,FLOAT64,3
mimiciv_derived,dobutamine,vaso_amount,FLOAT64,4
mimiciv_derived,dobutamine,starttime,DATETIME,5
mimiciv_derived,dobutamine,endtime,DATETIME,6
mimiciv_derived,dopamine,stay_id,INT64,1
mimiciv_derived,dopamine,linkorderid,INT64,2
mimiciv_derived,dopamine,vaso_rate,FLOAT64,3
mimiciv_derived,dopamine,vaso_amount,FLOAT64,4
mimiciv_derived,dopamine,starttime,DATETIME,5
mimiciv_derived,dopamine,endtime,DATETIME,6
mimiciv_derived,enzyme,subject_id,INT64,1
mimiciv_derived,enzyme,hadm_id,INT64,2
mimiciv_derived,enzyme,charttime,DATETIME,3
mimiciv_derived,enzyme,specimen_id,INT64,4
mimiciv_derived,enzyme,alt,FLOAT64,5
mimiciv_derived,enzyme,alp,FLOAT64,6
mimiciv_derived,enzyme,ast,FLOAT64,7
mimiciv_derived,enzyme,amylase,FLOAT64,8
mimiciv_derived,enzyme,bilirubin_total,FLOAT64,9
mimiciv_derived,enzyme,bilirubin_direct,FLOAT64,10
mimiciv_derived,enzyme,bilirubin_indirect,FLOAT64,11
mimiciv_derived,enzyme,ck_cpk,FLOAT64,12
mimiciv_derived,enzyme,ck_mb,FLOAT64,13
mimiciv_derived,enzyme,ggt,FLOAT64,14
mimiciv_derived,enzyme,ld_ldh,FLOAT64,15
mimiciv_derived,epinephrine,stay_id,INT64,1
mimiciv_derived,epinephrine,linkorderid,INT64,2
mimiciv_derived,epinephrine,vaso_rate,FLOAT64,3
mimiciv_derived,epinephrine,vaso_amount,FLOAT64,4
mimiciv_derived,epinephrine,starttime,DATETIME,5
mimiciv_derived,epinephrine,endtime,DATETIME,6
mimiciv_derived,first_day_bg,subject_id,INT64,1
mimiciv_derived,first_day_bg,stay_id,INT64,2
mimiciv_derived,first_day_bg,lactate_min,FLOAT64,3
mimiciv_derived,first_day_bg,lactate_max,FLOAT64,4
mimiciv_derived,first_day_bg,ph_min,FLOAT64,5
mimiciv_derived,first_day_bg,ph_max,FLOAT64,6
mimiciv_derived,first_day_bg,so2_min,FLOAT64,7
mimiciv_derived,first_day_bg,so2_max,FLOAT64,8
mimiciv_derived,first_day_bg,po2_min,FLOAT64,9
mimiciv_derived,first_day_bg,po2_max,FLOAT64,10
mimiciv_derived,first_day_bg,pco2_min,FLOAT64,11
mimiciv_derived,first_day_bg,pco2_max,FLOAT64,12
mimiciv_derived,first_day_bg,aado2_min,FLOAT64,13
mimiciv_derived,first_day_bg,aado2_max,FLOAT64,14
mimiciv_derived,first_day_bg,aado2_calc_min,FLOAT64,15
mimiciv_derived,first_day_bg,aado2_calc_max,FLOAT64,16
mimiciv_derived,first_day_bg,pao2fio2ratio_min,FLOAT64,17
mimiciv_derived,first_day_bg,pao2fio2ratio_max,FLOAT64,18
mimiciv_derived,first_day_bg,baseexcess_min,FLOAT64,19
mimiciv_derived,first_day_bg,baseexcess_max,FLOAT64,20
mimiciv_derived,first_day_bg,bicarbonate_min,FLOAT64,21
mimiciv_derived,first_day_bg,bicarbonate_max,FLOAT64,22
mimiciv_derived,first_day_bg,totalco2_min,FLOAT64,23
mimiciv_derived,first_day_bg,totalco2_max,FLOAT64,24
mimiciv_derived,first_day_bg,hematocrit_min,FLOAT64,25
mimiciv_derived,first_day_bg,hematocrit_max,FLOAT64,26
mimiciv_derived,first_day_bg,hemoglobin_min,FLOAT64,27
mimiciv_derived,first_day_bg,hemoglobin_max,FLOAT64,28
mimiciv_derived,first_day_bg,carboxyhemoglobin_min,FLOAT64,29
mimiciv_derived,first_day_bg,carboxyhemoglobin_max,FLOAT64,30
mimiciv_derived,first_day_bg,methemoglobin_min,FLOAT64,31
mimiciv_derived,first_day_bg,methemoglobin_max,FLOAT64,32
mimiciv_derived,first_day_bg,temperature_min,FLOAT64,33
mimiciv_derived,first_day_bg,temperature_max,FLOAT64,34
mimiciv_derived,first_day_bg,chloride_min,FLOAT64,35
mimiciv_derived,first_day_bg,chloride_max,FLOAT64,36
mimiciv_derived,first_day_bg,calcium_min,FLOAT64,37
mimiciv_derived,first_day_bg,calcium_max,FLOAT64,38
mimiciv_derived,first_day_bg,glucose_min,FLOAT64,39
mimiciv_derived,first_day_bg,glucose_max,FLOAT64,40
mimiciv_derived,first_day_bg,potassium_min,FLOAT64,41
mimiciv_derived,first_day_bg,potassium_max,FLOAT64,42
mimiciv_derived,first_day_bg,sodium_min,FLOAT64,43
mimiciv_derived,first_day_bg,sodium_max,FLOAT64,44
mimiciv_derived,first_day_bg_art,subject_id,INT64,1
mimiciv_derived,first_day_bg_art,stay_id,INT64,2
mimiciv_derived,first_day_bg_art,lactate_min,FLOAT64,3
mimiciv_derived,first_day_bg_art,lactate_max,FLOAT64,4
mimiciv_derived,first_day_bg_art,ph_min,FLOAT64,5
mimiciv_derived,first_day_bg_art,ph_max,FLOAT64,6
mimiciv_derived,first_day_bg_art,so2_min,FLOAT64,7
mimiciv_derived,first_day_bg_art,so2_max,FLOAT64,8
mimiciv_derived,first_day_bg_art,po2_min,FLOAT64,9
mimiciv_derived,first_day_bg_art,po2_max,FLOAT64,10
mimiciv_derived,first_day_bg_art,pco2_min,FLOAT64,11
mimiciv_derived,first_day_bg_art,pco2_max,FLOAT64,12
mimiciv_derived,first_day_bg_art,aado2_min,FLOAT64,13
mimiciv_derived,first_day_bg_art,aado2_max,FLOAT64,14
mimiciv_derived,first_day_bg_art,aado2_calc_min,FLOAT64,15
mimiciv_derived,first_day_bg_art,aado2_calc_max,FLOAT64,16
mimiciv_derived,first_day_bg_art,pao2fio2ratio_min,FLOAT64,17
mimiciv_derived,first_day_bg_art,pao2fio2ratio_max,FLOAT64,18
mimiciv_derived,first_day_bg_art,baseexcess_min,FLOAT64,19
mimiciv_derived,first_day_bg_art,baseexcess_max,FLOAT64,20
mimiciv_derived,first_day_bg_art,bicarbonate_min,FLOAT64,21
mimiciv_derived,first_day_bg_art,bicarbonate_max,FLOAT64,22
mimiciv_derived,first_day_bg_art,totalco2_min,FLOAT64,23
mimiciv_derived,first_day_bg_art,totalco2_max,FLOAT64,24
mimiciv_derived,first_day_bg_art,hematocrit_min,FLOAT64,25
mimiciv_derived,first_day_bg_art,hematocrit_max,FLOAT64,26
mimiciv_derived,first_day_bg_art,hemoglobin_min,FLOAT64,27
mimiciv_derived,first_day_bg_art,hemoglobin_max,FLOAT64,28
mimiciv_derived,first_day_bg_art,carboxyhemoglobin_min,FLOAT64,29
mimiciv_derived,first_day_bg_art,carboxyhemoglobin_max,FLOAT64,30
mimiciv_derived,first_day_bg_art,methemoglobin_min,FLOAT64,31
mimiciv_derived,first_day_bg_art,methemoglobin_max,FLOAT64,32
mimiciv_derived,first_day_bg_art,temperature_min,FLOAT64,33
mimiciv_derived,first_day_bg_art,temperature_max,FLOAT64,34
mimiciv_derived,first_day_bg_art,chloride_min,FLOAT64,35
mimiciv_derived,first_day_bg_art,chloride_max,FLOAT64,36
mimiciv_derived,first_day_bg_art,calcium_min,FLOAT64,37
mimiciv_derived,first_day_bg_art,calcium_max,FLOAT64,38
mimiciv_derived,first_day_bg_art,glucose_min,FLOAT64,39
mimiciv_derived,first_day_bg_art,glucose_max,FLOAT64,40
mimiciv_derived,first_day_bg_art,potassium_min,FLOAT64,41
mimiciv_derived,first_day_bg_art,potassium_max,FLOAT64,42
mimiciv_derived,first_day_bg_art,sodium_min,FLOAT64,43
mimiciv_derived,first_day_bg_art,sodium_max,FLOAT64,44
mimiciv_derived,first_day_gcs,subject_id,INT64,1
mimiciv_derived,first_day_gcs,stay_id,INT64,2
mimiciv_derived,first_day_gcs,gcs_min,FLOAT64,3
mimiciv_derived,first_day_gcs,gcs_motor,FLOAT64,4
mimiciv_derived,first_day_gcs,gcs_verbal,FLOAT64,5
mimiciv_derived,first_day_gcs,gcs_eyes,FLOAT64,6
mimiciv_derived,first_day_gcs,gcs_unable,INT64,7
mimiciv_derived,first_day_height,subject_id,INT64,1
mimiciv_derived,first_day_height,stay_id,INT64,2
mimiciv_derived,first_day_height,height,NUMERIC,3
mimiciv_derived,first_day_lab,subject_id,INT64,1
mimiciv_derived,first_day_lab,stay_id,INT64,2
mimiciv_derived,first_day_lab,hematocrit_min,FLOAT64,3
mimiciv_derived,first_day_lab,hematocrit_max,FLOAT64,4
mimiciv_derived,first_day_lab,hemoglobin_min,FLOAT64,5
mimiciv_derived,first_day_lab,hemoglobin_max,FLOAT64,6
mimiciv_derived,first_day_lab,platelets_min,FLOAT64,7
mimiciv_derived,first_day_lab,platelets_max,FLOAT64,8
mimiciv_derived,first_day_lab,wbc_min,FLOAT64,9
mimiciv_derived,first_day_lab,wbc_max,FLOAT64,10
mimiciv_derived,first_day_lab,albumin_min,FLOAT64,11
mimiciv_derived,first_day_lab,albumin_max,FLOAT64,12
mimiciv_derived,first_day_lab,globulin_min,FLOAT64,13
mimiciv_derived,first_day_lab,globulin_max,FLOAT64,14
mimiciv_derived,first_day_lab,total_protein_min,FLOAT64,15
mimiciv_derived,first_day_lab,total_protein_max,FLOAT64,16
mimiciv_derived,first_day_lab,aniongap_min,FLOAT64,17
mimiciv_derived,first_day_lab,aniongap_max,FLOAT64,18
mimiciv_derived,first_day_lab,bicarbonate_min,FLOAT64,19
mimiciv_derived,first_day_lab,bicarbonate_max,FLOAT64,20
mimiciv_derived,first_day_lab,bun_min,FLOAT64,21
mimiciv_derived,first_day_lab,bun_max,FLOAT64,22
mimiciv_derived,first_day_lab,calcium_min,FLOAT64,23
mimiciv_derived,first_day_lab,calcium_max,FLOAT64,24
mimiciv_derived,first_day_lab,chloride_min,FLOAT64,25
mimiciv_derived,first_day_lab,chloride_max,FLOAT64,26
mimiciv_derived,first_day_lab,creatinine_min,FLOAT64,27
mimiciv_derived,first_day_lab,creatinine_max,FLOAT64,28
mimiciv_derived,first_day_lab,glucose_min,FLOAT64,29
mimiciv_derived,first_day_lab,glucose_max,FLOAT64,30
mimiciv_derived,first_day_lab,sodium_min,FLOAT64,31
mimiciv_derived,first_day_lab,sodium_max,FLOAT64,32
mimiciv_derived,first_day_lab,potassium_min,FLOAT64,33
mimiciv_derived,first_day_lab,potassium_max,FLOAT64,34
mimiciv_derived,first_day_lab,abs_basophils_min,NUMERIC,35
mimiciv_derived,first_day_lab,abs_basophils_max,NUMERIC,36
mimiciv_derived,first_day_lab,abs_eosinophils_min,NUMERIC,37
mimiciv_derived,first_day_lab,abs_eosinophils_max,NUMERIC,38
mimiciv_derived,first_day_lab,abs_lymphocytes_min,NUMERIC,39
mimiciv_derived,first_day_lab,abs_lymphocytes_max,NUMERIC,40
mimiciv_derived,first_day_lab,abs_monocytes_min,NUMERIC,41
mimiciv_derived,first_day_lab,abs_monocytes_max,NUMERIC,42
mimiciv_derived,first_day_lab,abs_neutrophils_min,NUMERIC,43
mimiciv_derived,first_day_lab,abs_neutrophils_max,NUMERIC,44
mimiciv_derived,first_day_lab,atyps_min,FLOAT64,45
mimiciv_derived,first_day_lab,atyps_max,FLOAT64,46
mimiciv_derived,first_day_lab,bands_min,FLOAT64,47
mimiciv_derived,first_day_lab,bands_max,FLOAT64,48
mimiciv_derived,first_day_lab,imm_granulocytes_min,FLOAT64,49
mimiciv_derived,first_day_lab,imm_granulocytes_max,FLOAT64,50
mimiciv_derived,first_day_lab,metas_min,FLOAT64,51
mimiciv_derived,first_day_lab,metas_max,FLOAT64,52
mimiciv_derived,first_day_lab,nrbc_min,FLOAT64,53
mimiciv_derived,first_day_lab,nrbc_max,FLOAT64,54
mimiciv_derived,first_day_lab,d_dimer_min,FLOAT64,55
mimiciv_derived,first_day_lab,d_dimer_max,FLOAT64,56
mimiciv_derived,first_day_lab,fibrinogen_min,FLOAT64,57
mimiciv_derived,first_day_lab,fibrinogen_max,FLOAT64,58
mimiciv_derived,first_day_lab,thrombin_min,FLOAT64,59
mimiciv_derived,first_day_lab,thrombin_max,FLOAT64,60
mimiciv_derived,first_day_lab,inr_min,FLOAT64,61
mimiciv_derived,first_day_lab,inr_max,FLOAT64,62
mimiciv_derived,first_day_lab,pt_min,FLOAT64,63
mimiciv_derived,first_day_lab,pt_max,FLOAT64,64
mimiciv_derived,first_day_lab,ptt_min,FLOAT64,65
mimiciv_derived,first_day_lab,ptt_max,FLOAT64,66
mimiciv_derived,first_day_lab,alt_min,FLOAT64,67
mimiciv_derived,first_day_lab,alt_max,FLOAT64,68
mimiciv_derived,first_day_lab,alp_min,FLOAT64,69
mimiciv_derived,first_day_lab,alp_max,FLOAT64,70
mimiciv_derived,first_day_lab,ast_min,FLOAT64,71
mimiciv_derived,first_day_lab,ast_max,FLOAT64,72
mimiciv_derived,first_day_lab,amylase_min,FLOAT64,73
mimiciv_derived,first_day_lab,amylase_max,FLOAT64,74
mimiciv_derived,first_day_lab,bilirubin_total_min,FLOAT64,75
mimiciv_derived,first_day_lab,bilirubin_total_max,FLOAT64,76
mimiciv_derived,first_day_lab,bilirubin_direct_min,FLOAT64,77
mimiciv_derived,first_day_lab,bilirubin_direct_max,FLOAT64,78
mimiciv_derived,first_day_lab,bilirubin_indirect_min,FLOAT64,79
mimiciv_derived,first_day_lab,bilirubin_indirect_max,FLOAT64,80
mimiciv_derived,first_day_lab,ck_cpk_min,FLOAT64,81
mimiciv_derived,first_day_lab,ck_cpk_max,FLOAT64,82
mimiciv_derived,first_day_lab,ck_mb_min,FLOAT64,83
mimiciv_derived,first_day_lab,ck_mb_max,FLOAT64,84
mimiciv_derived,first_day_lab,ggt_min,FLOAT64,85
mimiciv_derived,first_day_lab,ggt_max,FLOAT64,86
mimiciv_derived,first_day_lab,ld_ldh_min,FLOAT64,87
mimiciv_derived,first_day_lab,ld_ldh_max,FLOAT64,88
mimiciv_derived,first_day_rrt,subject_id,INT64,1
mimiciv_derived,first_day_rrt,stay_id,INT64,2
mimiciv_derived,first_day_rrt,dialysis_present,INT64,3
mimiciv_derived,first_day_rrt,dialysis_active,INT64,4
mimiciv_derived,first_day_rrt,dialysis_type,STRING,5
mimiciv_derived,first_day_sofa,subject_id,INT64,1
mimiciv_derived,first_day_sofa,hadm_id,INT64,2
mimiciv_derived,first_day_sofa,stay_id,INT64,3
mimiciv_derived,first_day_sofa,sofa,INT64,4
mimiciv_derived,first_day_sofa,respiration,INT64,5
mimiciv_derived,first_day_sofa,coagulation,INT64,6
mimiciv_derived,first_day_sofa,liver,INT64,7
mimiciv_derived,first_day_sofa,cardiovascular,INT64,8
mimiciv_derived,first_day_sofa,cns,INT64,9
mimiciv_derived,first_day_sofa,renal,INT64,10
mimiciv_derived,first_day_urine_output,subject_id,INT64,1
mimiciv_derived,first_day_urine_output,stay_id,INT64,2
mimiciv_derived,first_day_urine_output,urineoutput,FLOAT64,3
mimiciv_derived,first_day_vitalsign,subject_id,INT64,1
mimiciv_derived,first_day_vitalsign,stay_id,INT64,2
mimiciv_derived,first_day_vitalsign,heart_rate_min,FLOAT64,3
mimiciv_derived,first_day_vitalsign,heart_rate_max,FLOAT64,4
mimiciv_derived,first_day_vitalsign,heart_rate_mean,FLOAT64,5
mimiciv_derived,first_day_vitalsign,sbp_min,FLOAT64,6
mimiciv_derived,first_day_vitalsign,sbp_max,FLOAT64,7
mimiciv_derived,first_day_vitalsign,sbp_mean,FLOAT64,8
mimiciv_derived,first_day_vitalsign,dbp_min,FLOAT64,9
mimiciv_derived,first_day_vitalsign,dbp_max,FLOAT64,10
mimiciv_derived,first_day_vitalsign,dbp_mean,FLOAT64,11
mimiciv_derived,first_day_vitalsign,mbp_min,FLOAT64,12
mimiciv_derived,first_day_vitalsign,mbp_max,FLOAT64,13
mimiciv_derived,first_day_vitalsign,mbp_mean,FLOAT64,14
mimiciv_derived,first_day_vitalsign,resp_rate_min,FLOAT64,15
mimiciv_derived,first_day_vitalsign,resp_rate_max,FLOAT64,16
mimiciv_derived,first_day_vitalsign,resp_rate_mean,FLOAT64,17
mimiciv_derived,first_day_vitalsign,temperature_min,NUMERIC,18
mimiciv_derived,first_day_vitalsign,temperature_max,NUMERIC,19
mimiciv_derived,first_day_vitalsign,temperature_mean,NUMERIC,20
mimiciv_derived,first_day_vitalsign,spo2_min,FLOAT64,21
mimiciv_derived,first_day_vitalsign,spo2_max,FLOAT64,22
mimiciv_derived,first_day_vitalsign,spo2_mean,FLOAT64,23
mimiciv_derived,first_day_vitalsign,glucose_min,FLOAT64,24
mimiciv_derived,first_day_vitalsign,glucose_max,FLOAT64,25
mimiciv_derived,first_day_vitalsign,glucose_mean,FLOAT64,26
mimiciv_derived,first_day_weight,subject_id,INT64,1
mimiciv_derived,first_day_weight,stay_id,INT64,2
mimiciv_derived,first_day_weight,weight_admit,FLOAT64,3
mimiciv_derived,first_day_weight,weight,FLOAT64,4
